time,open,high,low,close,volume,intraday_ofi_mean,intraday_ofi_std,intraday_ofi_sum,intraday_vol_sum,intraday_tick_count,intraday_high,intraday_low,daily_vpin,split_factor,dividend,close_adj,open_adj,high_adj,low_adj,log_return,overnight_return,intraday_return,hl_log_range,local_volatility,target_label,target_barrier_return,barrier_touch_time
2018-06-04 07:00:00,9.0,9.56,9.0,9.37,1439470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.37,9.0,9.56,9.0,,,0.04028851891411143,0.0603631497270905,0.007752577534319312,1.0,0.029882604055496476,2018-06-05 07:00:00
2018-06-05 07:00:00,9.23,9.65,9.23,9.65,1452440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.65,9.23,9.65,9.23,0.029444819100563943,-0.015054047735569911,0.04449886683613384,0.04449886683613384,0.007752577534319312,1.0,0.01865284974093262,2018-06-06 07:00:00
2018-06-06 07:00:00,9.7,9.9,9.46,9.83,1273280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.83,9.7,9.9,9.46,0.018481018808180604,0.005167970158442377,0.013313048649738217,0.0454623740767572,0.007752577534319312,-1.0,-0.03255340793489325,2018-06-07 07:00:00
2018-06-07 07:00:00,9.7,9.79,9.46,9.51,1276620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.51,9.7,9.79,9.46,-0.03309505760177632,-0.013313048649738151,-0.01978200895203813,0.03428907347863195,0.03400223844747832,-1.0,-0.04311251314405895,2018-06-11 07:00:00
2018-06-08 07:00:00,9.51,9.51,9.3,9.37,675770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.37,9.51,9.51,9.3,-0.014830780306968138,0.0,-0.014830780306968138,0.022329476398088577,0.028591132936520797,-1.0,-0.028815368196371316,2018-06-11 07:00:00
2018-06-11 07:00:00,9.14,9.35,8.77,9.1,1005130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.1,9.14,9.35,8.77,-0.029238682727526378,-0.024852710784272033,-0.0043859719432544405,0.064039536916504,0.027369893629060723,-1.0,-0.038461538461538436,2018-06-12 07:00:00
2018-06-12 07:00:00,9.1,9.1,8.54,8.75,1071950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.75,9.1,9.1,8.54,-0.03922071315328127,0.0,-0.03922071315328127,0.06351340572232593,0.027458705446127402,-1.0,-0.0822857142857144,2018-06-19 07:00:00
2018-06-13 07:00:00,8.75,8.96,8.75,8.8,300690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.8,8.75,8.96,8.75,0.005698021114637796,0.0,0.005698021114637796,0.023716526617316065,0.02595431021179994,-1.0,-0.08750000000000013,2018-06-19 07:00:00
2018-06-14 07:00:00,8.75,9.0,8.75,8.82,398930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.82,8.75,9.0,8.75,0.0022701485345390775,-0.005698021114637779,0.007968169649176881,0.028170876966696224,0.024007810907810078,-1.0,-0.026077097505669,2018-06-18 07:00:00
2018-06-15 07:00:00,8.93,8.98,8.75,8.98,521160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.980000000000002,8.930000000000001,8.980000000000002,8.750000000000002,0.017978012295408612,0.012394524869707794,0.005583487425700686,0.025946181944585135,0.024233228279276722,-1.0,-0.04342984409799577,2018-06-18 07:00:00
2018-06-18 07:00:00,8.82,8.98,8.59,8.59,505400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.59,8.82,8.98,8.59,-0.04440114631794447,-0.017978012295408543,-0.026423134022536,0.044401146317944375,0.02683679606048485,-1.0,-0.06519208381839359,2018-06-19 07:00:00
2018-06-19 07:00:00,8.33,8.36,7.99,8.03,3233760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.03,8.33,8.36,7.99,-0.06741420803749382,-0.03073527981741267,-0.036678928220081064,0.045267667318426935,0.03241098156663027,1.0,0.1033623910336241,2018-06-25 07:00:00
2018-06-20 07:00:00,8.17,8.36,8.03,8.26,893590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.26,8.17,8.36,8.03,0.028240059574216502,0.01728438091324128,0.010955678660975063,0.0402738991379399,0.034445474895297534,1.0,0.07263922518159815,2018-06-25 07:00:00
2018-06-21 07:00:00,8.36,8.36,8.06,8.13,302950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.130000000000003,8.360000000000001,8.360000000000001,8.060000000000002,-0.01586366397316719,0.012033839563723683,-0.027897503536890807,0.03654487057807314,0.03203798296636535,1.0,0.08979089790897898,2018-06-25 07:00:00
2018-06-22 07:00:00,7.94,8.29,7.94,8.29,470630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.290000000000001,7.940000000000002,8.290000000000001,7.940000000000002,0.01948904558748412,-0.023647648300674885,0.04313669388815919,0.04313669388815919,0.03189633825266554,1.0,0.06875753920386019,2018-06-25 07:00:00
2018-06-25 07:00:00,8.36,8.86,8.36,8.86,1994310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.860000000000001,8.360000000000001,8.860000000000001,8.360000000000001,0.06649679546978608,0.0084084579494066,0.05808833752037925,0.05808833752037925,0.03935384291224698,-1.0,-0.04627539503386002,2018-06-28 07:00:00
2018-06-26 07:00:00,8.77,9.23,8.77,8.91,2070500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.910000000000002,8.770000000000001,9.230000000000002,8.770000000000001,0.005627476865728389,-0.010209958232897868,0.015837435098626305,0.05112224213066926,0.03690390215603514,-1.0,-0.05162738496071839,2018-06-28 07:00:00
2018-06-27 07:00:00,9.0,9.05,8.68,8.82,1253710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.820000000000002,9.000000000000002,9.050000000000002,8.680000000000001,-0.010152371464017962,0.010050335853501506,-0.020202707317519466,0.041743229039576064,0.03483607356438332,-1.0,-0.04195011337868493,2018-06-28 07:00:00
2018-06-28 07:00:00,8.73,8.73,8.45,8.45,1025400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.450000000000001,8.730000000000002,8.730000000000002,8.450000000000001,-0.04285542864961758,-0.01025650016718911,-0.03259892848242847,0.032598928482428395,0.0356365948170504,-1.0,-0.09349112426035489,2018-07-02 07:00:00
2018-06-29 07:00:00,8.31,8.4,8.08,8.17,1523910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.170000000000002,8.310000000000002,8.400000000000002,8.080000000000002,-0.03369753249717088,-0.01670683250172556,-0.016990699995445363,0.03883983331626396,0.03482229107208375,-1.0,-0.062423500611995086,2018-07-02 07:00:00
